rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0074.jpg,29.6,0.8177,0.6355,1.0,1.0,7,6,False,True
2,frame_0123.jpg,49.2,0.7487,0.7415,0.8333,0.64,5,5,False,True
3,frame_0029.jpg,11.6,0.7405,0.6809,0.6667,1.0,4,4,False,True
4,frame_0002.jpg,0.8,0.7127,0.5254,0.8333,1.0,5,5,False,True
5,frame_0070.jpg,28.0,0.7079,0.8159,0.3333,1.0,4,2,False,False
6,frame_0121.jpg,48.4,0.7025,0.8809,0.5,0.56,3,3,False,False
7,frame_0019.jpg,7.6,0.6848,0.8696,0.1667,1.0,1,1,False,True
8,frame_0009.jpg,3.6,0.6833,0.7666,0.3333,1.0,2,2,False,True
9,frame_0075.jpg,30.0,0.6778,0.4716,0.8333,0.96,6,5,False,False
10,frame_0375.jpg,150.0,0.6663,0.7526,0.8333,0.2,8,5,False,True
11,frame_0130.jpg,52.0,0.6655,0.6629,0.5,0.92,3,3,False,True
12,frame_0205.jpg,82.0,0.6652,0.9424,0.1667,0.72,1,1,False,True
13,frame_0398.jpg,159.2,0.6645,0.733,0.8333,0.24,7,5,False,True
14,frame_0028.jpg,11.2,0.6628,0.8256,0.1667,1.0,2,1,False,False
15,frame_0376.jpg,150.4,0.6616,0.8592,0.6667,0.16,7,4,False,False
16,frame_0073.jpg,29.2,0.653,0.6061,0.5,1.0,6,3,False,False
17,frame_0071.jpg,28.4,0.6526,0.6052,0.5,1.0,5,3,False,False
18,frame_0276.jpg,110.4,0.6424,0.6888,0.8333,0.24,7,5,False,True
19,frame_0209.jpg,83.6,0.6423,0.7966,0.3333,0.72,2,2,False,False
20,frame_0126.jpg,50.4,0.6413,0.5786,0.6667,0.76,7,4,False,False
21,frame_0004.jpg,1.6,0.6401,0.5802,0.5,1.0,4,3,False,False
22,frame_0367.jpg,146.8,0.6374,0.6428,1.0,0.08,7,6,False,True
